en_id,zh_id,label,edit_label
284025,4,1.0,
224106,8,1.0,
204622,9,0.0,
212910,30,1.0,
284572,32,1.0,
259212,32,0.0,
306759,49,0.0,
205209,82,0.0,
212155,82,1.0,
286055,104,0.0,
295509,104,0.0,
261627,105,0.0,
218739,114,1.0,
221924,119,0.0,
219697,121,0.0,
261886,138,1.0,
241981,140,0.0,
221571,141,1.0,
222557,143,0.0,
218669,143,1.0,
222063,146,0.0,
222076,146,1.0,
210720,150,1.0,
256332,166,0.0,
279907,168,0.0,
209693,172,0.0,
221458,174,1.0,
212421,175,1.0,
245239,178,0.0,
213608,178,1.0,
214610,181,1.0,
220106,207,1.0,
279484,220,0.0,
220079,221,1.0,
262188,226,0.0,
262203,228,0.0,
262220,228,0.0,
278073,229,1.0,
239500,234,0.0,
221030,234,1.0,
219899,237,1.0,
279665,244,1.0,1.0
297006,248,0.0,
277400,261,1.0,
219719,262,1.0,
277728,264,1.0,
219717,267,0.0,
277509,270,1.0,
219766,273,1.0,
279207,274,1.0,
279648,280,1.0,
282879,287,1.0,
280505,292,0.0,
283155,300,1.0,
218965,305,1.0,
218341,309,1.0,
206112,310,0.0,
206113,310,0.0,
206578,312,0.0,
206579,312,0.0,
224743,312,1.0,
260784,312,0.0,
205969,320,0.0,
209849,337,1.0,
224747,339,1.0,
258844,345,0.0,
292647,364,0.0,
284603,371,1.0,
261632,391,0.0,
219238,395,1.0,
215774,401,1.0,
219379,406,0.0,
217269,406,1.0,
218709,409,1.0,
260949,411,1.0,
277135,420,1.0,
276909,435,1.0,
219401,461,0.0,
309680,466,1.0,
213033,479,1.0,
280219,479,1.0,
218527,481,1.0,
265614,483,1.0,
216935,486,1.0,
211263,488,1.0,
221167,489,1.0,
220689,490,1.0,
220579,494,0.0,
210412,498,1.0,
277432,500,1.0,
277684,502,0.0,
219815,504,0.0,
219532,506,1.0,
217443,507,1.0,
228607,511,1.0,
211247,512,1.0,
236294,517,1.0,
219967,524,1.0,
267448,527,0.0,
218734,535,1.0,
219412,537,1.0,
261760,540,0.0,
285364,551,0.0,
210516,553,1.0,
278530,556,1.0,
277812,559,0.0,
278994,560,1.0,
272017,563,1.0,
278841,565,1.0,
278337,566,0.0,
278348,566,0.0,
293772,566,0.0,
237431,579,0.0,
279737,587,0.0,
202653,589,0.0,
265477,590,0.0,
283727,595,1.0,
219097,597,0.0,
276652,597,1.0,
255126,598,1.0,
222982,600,1.0,
219509,603,0.0,
278374,608,0.0,
277393,609,1.0,
235473,613,1.0,
219540,616,1.0,
219548,616,1.0,
220705,624,1.0,
219676,626,1.0,
308038,629,0.0,
218081,630,1.0,
218738,639,1.0,
210178,666,1.0,
280830,668,0.0,
280143,670,1.0,
280187,671,1.0,
280658,672,0.0,
276506,672,1.0,
276083,678,1.0,
218929,686,0.0,
281049,689,1.0,
230030,691,1.0,
245255,691,1.0,
210131,697,0.0,
219105,701,1.0,
212428,703,0.0,
276661,703,1.0,
248143,706,1.0,
230604,707,0.0,
290490,718,0.0,
272692,721,0.0,
243099,739,0.0,
288595,743,0.0,
280751,745,1.0,
280220,763,1.0,
229988,766,0.0,
263959,767,1.0,
243037,775,0.0,
247402,779,0.0,
264365,782,1.0,
276680,783,1.0,
223992,794,0.0,
223986,794,1.0,
266407,794,0.0,
313792,794,1.0,
283609,796,1.0,
253065,799,0.0,
202617,799,0.0,
202631,799,0.0,
253094,799,0.0,
304558,816,0.0,
283611,816,1.0,
204256,843,0.0,
264730,845,0.0,
221414,850,0.0,
280144,850,1.0,
280133,850,1.0,1.0
221654,853,0.0,
280357,855,1.0,
281514,860,1.0,
222956,867,0.0,
223798,871,0.0,
223727,873,1.0,
307952,874,0.0,
209700,874,1.0,
265567,877,1.0,
224197,880,1.0,
203961,881,0.0,
216275,881,1.0,
223743,884,0.0,
223656,885,1.0,
220856,916,0.0,
281348,917,1.0,
259109,944,0.0,
224276,946,1.0,
258997,955,0.0,
206595,987,1.0,
284962,990,1.0,
282398,1026,1.0,
221762,1038,1.0,
278620,1054,1.0,
219400,1067,1.0,
258782,1080,0.0,
